feature,importance_mean,importance_std
texture_worst,0.05396825396825402,0.021236647873428036
concavity_worst,0.04206349206349212,0.024345812143139654
symmetry_worst,0.02777777777777781,0.01852796433322025
concave points_worst,0.026190476190476222,0.01879796711480479
radius_worst,0.003968253968253995,0.020466344378139077
concave points_mean,0.0023809523809524094,0.019777675864090637
area_worst,0.002380952380952406,0.018797967114804765
smoothness_worst,0.0023809523809523946,0.012821820969367858
perimeter_worst,0.001587301587301615,0.019375485104339195
radius_mean,0.0007936507936508204,0.016817158809854814
concavity_mean,0.0007936507936508204,0.01681715880985481
perimeter_mean,2.960594732333751e-17,0.01738801769857668
area_mean,2.590520390792032e-17,0.01844277783908292
symmetry_mean,-0.0007936507936507871,0.007487286612743322
fractal_dimension_worst,-0.0007936507936507908,0.004273940323122607
texture_se,-0.0031746031746031486,0.014720029357929664
concavity_se,-0.0031746031746031633,0.008093681767607564
concave points_se,-0.003968253968253936,0.016361530260387513
fractal_dimension_mean,-0.004761904761904745,0.009523809523809492
texture_mean,-0.005555555555555521,0.015892844757540273
perimeter_se,-0.011111111111111075,0.013374840909803709
area_se,-0.011904761904761866,0.015971914124998467
symmetry_se,-0.015079365079365041,0.016817158809854803
smoothness_mean,-0.01587301587301581,0.014197256999998634
radius_se,-0.015873015873015824,0.016647759494764283
smoothness_se,-0.016666666666666607,0.016438345378736466
compactness_se,-0.019841269841269785,0.023875569772208435
fractal_dimension_se,-0.024603174603174547,0.016817158809854814
compactness_mean,-0.02619047619047613,0.017764308956824897
compactness_worst,-0.03253968253968247,0.014395521545410359
